arr_data1,arr_data2,arr_data3,arr_data4,arr_data5,arr_data6,arr_data7
22-Dec-2019 00:45:01,GEC8384,B77L,37.45668948,126.46440625,2,41.5851548387619
22-Dec-2019 00:01:53,JJA8404,B738,37.45897472,126.46242142,2,350.07551771572
22-Dec-2019 00:48:24,KAL854,A333,37.45724201,126.46390736,2,117.135476155476
22-Dec-2019 00:37:19,MMA801,A319,37.45763361,126.46354795,2,170.983885976436
22-Dec-2019 01:22:29,AJX8475,B763,37.45767117,126.46349967,2,176.862651856846
22-Dec-2019 01:48:11,CKK257,B747,37.45902836,126.46228194,2,362.054798626592
22-Dec-2019 02:22:29,BOX580,B772,37.45649636,126.46456718,2,15.8608483896883
22-Dec-2019 02:01:24,SOO7950,B772,37.45682359,126.46428823,2,59.7663301725671
22-Dec-2019 03:32:42,CRK646,A333,37.45712936,126.46399856,2,102.270783495018
22-Dec-2019 03:54:46,HVN440,A21N,37.45795012,126.46323681,2,215.579475088413
22-Dec-2019 03:44:18,JJA2306,B738,37.45907664,126.46229267,2,365.87030826625
22-Dec-2019 03:28:24,KAL118,A332,37.45709181,126.46404684,2,96.40031474841
22-Dec-2019 03:04:59,KAL164,B739,37.45653927,126.46452963,2,21.6669848973991
22-Dec-2019 03:30:38,KAL492,B772,37.45654464,126.46452427,2,22.4276929572516
22-Dec-2019 03:46:34,KAL624,B773,37.45669484,126.46440625,2,42.076975996148
22-Dec-2019 03:36:36,QTR8982,B748,37.45744586,126.46371961,2,145.199935998853
22-Dec-2019 03:20:04,UPS99,B744,37.45876014,126.46257699,2,322.666850022911
22-Dec-2019 04:21:08,AAR223,A359,37.45718837,126.46393418,2,110.915492901861
22-Dec-2019 04:59:06,AAR326,A321,37.45795012,126.46327972,2,213.36498366805
22-Dec-2019 04:29:59,AAR704,A333,37.45694697,126.46415949,2,77.5233464333047
22-Dec-2019 04:31:55,AAR746,A333,37.45704889,126.46406829,2,91.417918626733
22-Dec-2019 04:16:51,AAV600,A320,37.45761752,126.46357477,2,168.153306593886
22-Dec-2019 04:12:59,AAV700,A320,37.45683432,126.46425605,2,62.386805696426
22-Dec-2019 04:19:02,BAV492,A21N,37.45807886,126.46314561,2,231.886464182857
22-Dec-2019 04:46:46,ESR504,B738,37.45740831,126.46374106,2,140.707485556155
22-Dec-2019 04:52:20,ESR592,B738,37.45753169,126.4636606,2,155.992578658067
22-Dec-2019 04:44:31,KAL006,B77W,37.45738685,126.46380007,2,135.74940498026
22-Dec-2019 04:49:20,KAL012,A388,37.45723128,126.46391273,2,115.889345008635
22-Dec-2019 04:27:29,KAL086,B748,37.45644271,126.46462083,2,8.26206704697535
22-Dec-2019 04:25:38,KAL658,B77W,37.45658219,126.46450281,2,26.9346441726906
22-Dec-2019 04:42:26,KAL680,B77W,37.45694697,126.46418095,2,76.427780385826
22-Dec-2019 04:54:14,KAL696,B772,37.45677531,126.46434724,2,52.4048840969611
22-Dec-2019 04:36:23,KAL720,B739,37.45793939,126.46324754,2,214.057925075364
22-Dec-2019 04:34:35,KAL860,B739,37.45706499,126.46403611,2,94.5404229513927
22-Dec-2019 04:22:55,THY6544,B772,37.45709181,126.46400928,2,98.3453978988506
22-Dec-2019 04:56:29,TWB132,B738,37.45867431,126.46264136,2,311.599072844338
22-Dec-2019 04:38:24,TWB302,B738,37.45732248,126.46382689,2,128.540143196225
22-Dec-2019 04:40:22,TWB614,B738,37.45801449,126.46318316,2,224.148980670124
22-Dec-2019 05:27:27,AAR203,A388,37.44486094,126.44042194,3,197.853847011307
22-Dec-2019 05:25:05,AAR211,A359,37.44691014,126.43861413,3,475.90565508358
22-Dec-2019 05:12:10,AAR356,A321,37.45725811,126.4638859,2,119.692025220861
22-Dec-2019 05:32:27,AAR568,A333,37.44452834,126.44067407,3,154.897723797543
22-Dec-2019 05:51:45,AAR756,B744,37.48180568,126.44203663,5,289.8733170743
22-Dec-2019 05:16:51,ABW9398,B748,37.45868504,126.46258771,2,315.325320701196
22-Dec-2019 05:31:35,APG036,A320,37.45701134,126.46410584,2,86.0949286435799
22-Dec-2019 05:39:18,ASV502,A321,37.45707035,126.46407902,2,92.8207587497285
22-Dec-2019 05:03:40,AZG128,B744,37.46112585,126.46043658,2,646.379753292848
22-Dec-2019 05:34:56,DAL27,A359,37.44460344,126.44063115,3,163.851715531438
22-Dec-2019 05:26:30,ESR872,B738,37.45745122,126.46371424,2,145.960136217834
22-Dec-2019 05:30:12,JNA004,B738,37.44534373,126.43993914,3,266.321955088238
22-Dec-2019 05:37:37,JNA062,B772,37.4439168,126.44122124,3,71.5867775024504
22-Dec-2019 05:06:08,KAL026,B77W,37.45706499,126.46404147,2,94.2588765629417
22-Dec-2019 05:28:59,KAL464,A333,37.45755315,126.46368742,2,156.616726415975
22-Dec-2019 05:01:21,KAL608,B789,37.45686114,126.46422923,2,66.1904269100599
22-Dec-2019 05:35:34,KAL644,B773,37.45812714,126.46307051,2,240.123121215239
22-Dec-2019 05:56:49,KAL668,A333,37.48340964,126.44067407,5,75.0085578249685
22-Dec-2019 05:53:54,KAL684,B77W,37.48388171,126.44023418,5,9.84051270304814
22-Dec-2019 05:08:42,KZR959,B752,37.45804131,126.4631778,2,226.840026774565
22-Dec-2019 05:19:43,PAL466,A321,37.45746732,126.46369278,2,148.518302500626
22-Dec-2019 05:21:30,PAL484,A321,37.45661438,126.4644438,2,32.8924846648141
22-Dec-2019 05:58:43,TWB308,B738,37.4831897,126.44082963,5,102.816334227437
22-Dec-2019 05:33:32,VJC864,A21N,37.45871186,126.46257699,2,318.295936375218
22-Dec-2019 05:14:49,VJC926,A320,37.45746195,126.46364987,2,150.288635612488
22-Dec-2019 05:23:48,VJC962,A321,37.4566251,126.46442771,2,34.708090732112
22-Dec-2019 06:38:07,AAR626,A321,37.4719727,126.41629279,6,112.535507759589
22-Dec-2019 06:42:12,AAR708,A321,37.48379052,126.44029319,5,20.9769027596164
22-Dec-2019 06:32:15,AAR734,A333,37.47218192,126.41608894,6,83.2028048609717
22-Dec-2019 06:52:21,AAR752,A333,37.48344719,126.44062042,5,68.8201402485058
22-Dec-2019 06:23:50,AMX090,B788,37.47093737,126.41721547,6,253.473031511763
22-Dec-2019 06:41:05,CEB180,A320,37.47101247,126.417135,6,242.564836207857
22-Dec-2019 06:26:07,CES2023,A333,37.48284101,126.44117832,5,152.252384548687
22-Dec-2019 06:31:07,ESR502,B738,37.48219728,126.44167721,5,236.039314256858
22-Dec-2019 06:06:39,ESR512,B738,37.48166621,126.44219756,5,310.730984218686
22-Dec-2019 06:44:52,ESR572,B738,37.48295367,126.44106567,5,136.276447689476
22-Dec-2019 06:19:27,HVN408,B78X,37.48268008,126.44126415,5,171.188815837926
22-Dec-2019 06:57:24,HVN430,A321,37.48330235,126.44077063,5,89.6544692409399
22-Dec-2019 06:15:50,JJA4206,B738,37.48229384,126.44162357,5,224.540973480295
22-Dec-2019 06:43:30,JJA4304,B738,37.47125924,126.41689897,6,208.166365555462
22-Dec-2019 06:59:42,JNA024,B738,37.4819237,126.44199908,5,277.282240143532
22-Dec-2019 06:27:15,JNA096,B738,37.47080326,126.41733348,6,271.653259051536
